%C3%89va_Tardos,Christos_Papadimitriou
%C3%89va_Tardos,G%C3%A1bor_Tardos
%C3%89va_Tardos,Johan_H%C3%A5stad
Bertrand_Meyer,James_Rumbaugh
Bertrand_Meyer,Martin_Fowler
Bertrand_Meyer,Niklaus_Wirth
Bertrand_Meyer,Tom_DeMarco
Bertrand_Meyer,Watts_Humphrey
Bertrand_Meyer,Winston_W._Royce
Bill_Gates,Christos_Papadimitriou
Bill_Joy,Bjarne_Stroustrup
Bill_Joy,Dan_Klein
Bill_Joy,Donald_Knuth
Bill_Joy,Edward_H._Shortliffe
Bill_Joy,Guy_L._Steele,_Jr.
Bill_Joy,John_Ousterhout
Bill_Joy,Luis_von_Ahn
Bill_Joy,Marshall_Kirk_McKusick
Bill_Joy,Poul-Henning_Kamp
Bill_Joy,Richard_Stallman
Bjarne_Stroustrup,Bill_Joy
Bjarne_Stroustrup,Dan_Klein
Bjarne_Stroustrup,David_Wheeler_(computer_scientist)
Bjarne_Stroustrup,Donald_Knuth
Bjarne_Stroustrup,Edward_H._Shortliffe
Bjarne_Stroustrup,Guy_L._Steele,_Jr.
Bjarne_Stroustrup,John_Ousterhout
Bjarne_Stroustrup,Luis_von_Ahn
Bjarne_Stroustrup,Richard_Stallman
Brian_Kernighan,Alfred_Aho
Brian_Kernighan,Dennis_Ritchie
Brian_Kernighan,Niklaus_Wirth
Brian_Kernighan,Peter_J._Weinberger
Bruce_Arden,Franklin_H._Westervelt
Bruce_Arden,Robert_M._Graham
Bryan_Cantrill,Jeff_Bonwick
Butler_W._Lampson,Adi_Shamir
Butler_W._Lampson,Alan_Kay
Butler_W._Lampson,Alan_Perlis
Butler_W._Lampson,Allen_Newell
Butler_W._Lampson,Amir_Pnueli
Butler_W._Lampson,Barbara_Liskov
Butler_W._Lampson,Charles_Bachman
Butler_W._Lampson,Charles_P._Thacker
Butler_W._Lampson,Dana_Scott
Butler_W._Lampson,David_Wheeler_(computer_scientist)
Butler_W._Lampson,Dennis_Ritchie
Butler_W._Lampson,Donald_Knuth
Butler_W._Lampson,Douglas_Engelbart
Butler_W._Lampson,E._Allen_Emerson
Butler_W._Lampson,Edgar_F._Codd
Butler_W._Lampson,Edmund_M._Clarke
Butler_W._Lampson,Edward_Feigenbaum
Butler_W._Lampson,Fernando_J._Corbat%C3%B3
Butler_W._Lampson,Frances_E._Allen
Butler_W._Lampson,Fred_Brooks
Butler_W._Lampson,Herbert_A._Simon
Butler_W._Lampson,Ivan_Sutherland
Butler_W._Lampson,James_H._Wilkinson
Butler_W._Lampson,Jim_Gray_(computer_scientist)
Butler_W._Lampson,John_Backus
Butler_W._Lampson,John_Cocke
Butler_W._Lampson,John_Hopcroft
Butler_W._Lampson,John_McCarthy_(computer_scientist)
Butler_W._Lampson,Joseph_Sifakis
Butler_W._Lampson,Judea_Pearl
Butler_W._Lampson,Juris_Hartmanis
Butler_W._Lampson,Kenneth_E._Iverson
Butler_W._Lampson,Kristen_Nygaard
Butler_W._Lampson,Leonard_Adleman
Butler_W._Lampson,Leslie_Lamport
Butler_W._Lampson,Leslie_Valiant
Butler_W._Lampson,Manuel_Blum
Butler_W._Lampson,Marvin_Minsky
Butler_W._Lampson,Michael_O._Rabin
Butler_W._Lampson,Michael_Stonebraker
Butler_W._Lampson,Niklaus_Wirth
Butler_W._Lampson,Ole-Johan_Dahl
Butler_W._Lampson,Peter_Naur
Butler_W._Lampson,Raj_Reddy
Butler_W._Lampson,Richard_E._Stearns
Butler_W._Lampson,Richard_Hamming
Butler_W._Lampson,Richard_Karp
Butler_W._Lampson,Robert_Tarjan
Butler_W._Lampson,Robin_Milner
Butler_W._Lampson,Ron_Rivest
Butler_W._Lampson,Shafi_Goldwasser
Butler_W._Lampson,Silvio_Micali
Butler_W._Lampson,Stephen_Cook
Butler_W._Lampson,Vint_Cerf
Butler_W._Lampson,William_Kahan
C._A._R._Hoare,Adi_Shamir
C._A._R._Hoare,Alan_Kay
C._A._R._Hoare,Alan_Perlis
C._A._R._Hoare,Allen_Newell
C._A._R._Hoare,Amir_Pnueli
